time,flux
131.512759519479,48679.277
131.53319390667457,48667.934
131.55362819364382,48659.867
131.57406238060503,48667.61
131.59449666734145,48654.598
131.61493105407862,48662.74
131.63536524069787,48667.984
131.65579952707776,48657.496
131.6762339134657,48664.168
131.69666819972917,48666.414
131.71710238576634,48656.992
131.73753667180426,48655.98
131.75797105771926,48663.52
131.7784052435236,48671.918
131.79883952921227,48731.945
131.81927391477802,48663.277
131.8397081002331,48658.816
131.86014238557254,48655.562
131.88057667067187,48662.38
131.90101095577847,48670.28
131.92144524076866,48664.652
131.94187952563516,48650.78
131.96231381039252,48667.656
131.98274809503346,48672.996
132.00318237966712,48668.754
132.02361656407447,48666.676
132.04405094836693,48682.656
132.06448523253493,48667.336
132.08491941659304,48680.22
132.1053537005355,48669.137
132.125788084355,48654.03
132.14622226806387,48663.05
132.16665655177349,48675.54
132.18709093524376,48661.836
132.20752521860413,48667.793
132.22795940184733,48646.54
132.24839368497487,48658.09
132.2688280680959,48669.594
132.28926225098985,48670.336
132.30969653376087,48659.773
132.3301309164235,48662.64
132.35056509908463,48664.555
132.37099938151368,48658.344
132.39143366381904,48662.21
132.41186794601526,48653.34
132.4323022282042,48663.63
132.4527365101676,48657.93
132.47317089201533,48653.426
132.49360507386154,48673.344
132.5140393554684,48661.836
132.53447353696538,48646.523
132.55490791834018,48668.688
132.5753421997215,48666.473
132.5957763808692,48650.32
132.61621076190204,48670.008
132.63664504292683,48675.156
132.65707932372607,48672.55
132.67751350440813,48655.82
132.69794788508443,48652.723
132.71838216553442,48663.258
132.73881634586724,48657.195
132.75925072607788,48658.938
132.77968500629504,48663.832
132.8001191862786,48654.09
132.82055346613924,48654.246
132.8409878458915,48651.383
132.86142202564224,48670.43
132.88185630515363,48650.273
132.90229068455665,48665.883
132.92272486384172,48661.094
132.94315914300387,48661.84
132.9635934221733,48653.75
132.98402780111064,48657.363
133.00446197992278,48656.133
133.02489625862654,48660.47
133.04533053721389,48667.363
133.06576481567754,48653.273
133.08619909403205,48659.98
133.10663337227015,48662.38
133.12706765038456,48663.2
133.14750192838983,48663.92
133.16793620627868,48663.656
133.18837048404384,48660.64
133.20880486170063,48665.8
133.22923903923947,48658.15
133.2496733166554,48667.715
133.27010759396217,48666.945
133.29054187115253,48648.773
133.3109761482192,48662.797
133.33141032517597,48661.73
133.35184470201784,48648.227
133.37227897861885,48652.934
133.39271325522714,48672.383
133.413147531719,48657.805
133.43358180808718,48651.965
133.4540160842298,48667.98
133.47445026037167,48656.016
133.49488463639136,48653.98
133.51531891218474,48661.875
133.53575308797735,48651.227
133.5561874635314,48661.51
133.57662173909193,48661.43
133.5970559144189,48662.848
133.61749018973933,48644.33
133.63792456483498,48649.44
133.65835883992258,48664.98
133.67879301478388,48678.758
133.69922738953028,48642.977
133.71966166427592,48666.785
133.7400958387807,48663.246
133.76053011317708,48668.97
133.78096448745055,48660.836
133.80139866161335,48664.992
133.8218329356605,48643.51
133.84226720970764,48648.39
133.86270148351468,48655.285
133.88313575709617,48669.234
133.90357003067766,48669.766
133.92400430413545,48671.992
133.9444385774841,48656.266
133.96487285071635,48657.785
133.98530702382413,48662.52
134.0057413967079,48654.75
134.02617566959088,48651.387
134.04660984234943,48654.527
134.06704421488394,48661.223
134.08747848741768,48661.016
134.10791265971056,48659.086
134.12834693201148,48663.117
134.14878130408033,48663.1
134.16921557614114,48670.008
134.18964974797564,48672.332
134.21008411969524,48663.63
134.2305183914068,48664.504
134.25095256289205,48665.758
134.27138683426165,48662.047
134.2918212055083,48667.29
134.31225537664432,48669.52
134.33268964766467,48660.6
134.35312401856208,48660.395
134.37355818923243,48654.34
134.41442673045094,48670.164
134.4348610008892,48668.68
134.45529527109466,48667.06
134.47572954129282,48677.234
134.4961639112662,48668.527
134.51659808123804,48656.2
134.53703235097055,48664.957
134.55746652059315,48659.18
134.57790089010086,48660.145
134.59833515960054,48640.35
134.6187693288739,48677.086
134.6392035980316,48659.594
134.65963796706637,48656.047
134.68007223599125,48661.59
134.7005065047997,48656.703
134.72094077348447,48674.383
134.74137504194368,48675.473
134.76180921040213,48658.816
134.78224347862124,48668.016
134.80267784684838,48668.418
134.82311211484193,48659.016
134.84354628283472,48664.816
134.86398065058893,48667.19
134.88441491834965,48670.14
134.90484918587026,48658.105
134.92528335328097,48664.8
134.9457177205768,48676.95
134.96615198774816,48667.742
134.98658615480963,48670.086
135.0070205217562,48667.53
135.0274547884619,48663.01
135.04788895517413,48663.277
135.06832322165428,48677.887
135.08875758812792,48664.895
135.10919175437448,48655.848
135.1296260206218,48668.746
135.15006038662978,48661.996
135.17049465252785,48659.125
135.19092881830875,48663.48
135.21136308408313,48670.414
135.2317974495163,48668.453
135.25223161494796,48666.316
135.27266588025668,48671.11
135.2931000454555,48670.348
135.31353441053943,48659.016
135.3339686753825,48664.316
135.35440284023207,48665.22
135.37483720485034,48668.44
135.39527146934415,48653.617
135.41570573372883,48657.125
135.43613989811274,48662.63
135.45657426225807,48663.266
135.4770085262935,48662.23
135.49744269009534,48666.812
135.51787705389143,48673.098
135.5383113175776,48669.234
135.5587454810302,48673.4
135.57917974448355,48676.254
135.59961410769756,48676.75
135.62004827091732,48658.25
135.64048253389774,48669.555
135.66091689676978,48657.605
135.68135115952464,48670.05
135.70178532216232,48664.742
135.72221958467708,48666.85
135.74265394708345,48656.754
135.7630881092482,48669.81
135.783522371421,48680.19
135.8039567333617,48665.715
135.8243908953009,48661.984
135.84482515700074,48674.312
135.86525941859145,48671.43
135.88569368005847,48674.0
135.90612794141634,48664.58
135.9265622026578,48679.19
135.9469963637821,48667.453
135.9674307246678,48651.195
135.98786498556,48673.89
136.00829914621863,48665.586
136.0287335068715,48675.145
136.04916776729806,48676.562
136.06960192760744,48673.168
136.09003618779388,48664.887
136.11047054787196,48682.043
136.13090480782557,48671.543
136.1513389676693,48664.934
136.1717733272817,48690.207
136.19220758689335,48667.043
136.21264174626413,48683.938
136.23307600552653,48682.766
136.253510364666,48666.887
136.2739445236948,48685.285
136.29437878260796,48676.348
136.31481314140547,48678.086
136.33524730007775,48671.434
136.35568155852525,48668.227
136.37611581697274,48667.414
136.39655007518013,48676.523
136.41698433327838,48660.43
136.43741859137663,48678.703
136.45785294923553,48665.945
136.47828710698377,48682.867
136.49872136449994,48674.98
136.51915562200884,48675.81
136.53958987929218,48675.605
136.56002413657552,48679.285
136.58045839361876,48673.348
136.60089265055285,48665.3
136.62132690737053,48665.32
136.64176116406452,48654.47
136.66219542064937,48656.668
136.6826296771178,48674.953
136.70306393334613,48657.03
136.72349818958173,48671.36
136.74393234558374,48676.594
136.7643667014636,48671.406
136.78480095723353,48675.258
136.8052351128863,48698.38
136.8256694684169,48660.145
136.8461037238376,48676.742
136.86653797901818,48691.32
136.88697213420528,48670.18
136.90740648916108,48673.11
136.9278407439997,48676.117
136.94827489871386,48674.25
136.9687092533204,48682.383
136.9891435078025,48683.51
137.0095776620583,48671.184
137.03001191631483,48660.89
137.0504462703393,48671.9
137.07088042423857,48670.42
137.09131467802945,48663.004
137.1117490316974,48676.855
137.1321831852547,48674.5
137.15261743869632,48683.11
137.17305169190513,48672.94
137.19348604510742,48679.46
137.21392019808263,48662.87
137.2343544509422,48671.984
137.2547886037937,48689.973
137.27522295618837,48687.43
137.2956572088151,48684.676
137.31609136120096,48673.605
137.3365257133628,48671.54
137.35695996529103,48669.215
137.39782836913946,48675.516
137.41826272083563,48679.688
137.43869697229093,48676.855
137.45913112375274,48686.55
137.47956547498325,48674.965
137.49999972620571,48679.117
137.52043387720187,48672.457
137.54086812796595,48670.24
137.56130247872352,48691.758
137.58173662948684,48684.453
137.60217087978526,48690.19
137.62260523007717,48675.71
137.6430394803756,48689.2
137.66347363044042,48687.305
137.6839078802659,48671.535
137.70434223009943,48684.844
137.72477637993143,48677.016
137.74521062929125,48668.97
137.7656449786591,48678.887
137.78607912802545,48682.58
137.80651337715244,48686.797
137.82694752605312,48668.195
137.84738187495532,48681.402
137.86781612361665,48688.273
137.88825037228526,48674.664
137.90868452072027,48701.613
137.92911886914953,48670.633
137.94955311735248,48682.223
137.96998726532183,48686.156
137.99042161328543,48692.816
138.01085586102272,48696.25
138.0312900085264,48682.863
138.05172425603087,48690.71
138.0721586035288,48694.203
138.09259285080043,48696.28
138.11302699783118,48682.023
138.13346134487074,48689.32
138.1538955916767,48681.46
138.1743297382418,48689.46
138.19476398481493,48690.664
138.21519833138882,48675.07
138.235632577489,48688.953
138.25606672359572,48686.25
138.27650106970395,48685.02
138.29693531557132,48689.36
138.31736946121237,48695.91
138.33780370685417,48681.504
138.35823805248947,48682.28
138.37867229766562,48684.926
138.399106442841,48698.074
138.41954078801064,48680.895
138.43997503295395,48686.242
138.46040917766368,48680.934
138.4808434223669,48678.906
138.5012777668453,48684.64
138.52171191108937,48681.19
138.54214615532692,48686.082
138.56258039957174,48687.082
138.5830146433509,48688.28
138.60344888735563,48693.152
138.62388313090196,48683.668
138.6443173744483,48681.652
138.66475161798735,48685.914
138.68518586130085,48682.336
138.70562000438076,48693.71
138.7260543472221,48696.297
138.74648859006993,48706.566
138.766922732917,48681.426
138.7873570755255,48697.547
138.8077913179077,48695.613
138.8282254602891,48690.95
138.84865970243118,48686.64
138.86909404434846,48698.234
138.88952828626498,48685.023
138.9099624279479,48690.64
138.93039676962508,48702.97
138.95083101107593,48683.906
138.97126515251875,48683.715
138.99169939373678,48689.863
139.01213373472274,48706.49
139.03256787570717,48705.695
139.05300211645226,48675.07
139.0734364572054,48677.81
139.09387059748406,48689.39
139.1143048380036,48689.625
139.1347390782903,48689.445
139.15517331834417,48694.977
139.17560755815794,48694.293
139.19604179797898,48690.05
139.21647593779926,48693.2
139.23691027714813,48679.688
139.2573445165035,48689.902
139.27777865585813,48701.64
139.29821299497416,48685.4
139.31864723386389,48691.3
139.33908147274633,48688.074
139.35951561140246,48686.19
139.3799499500601,48688.81
139.40038418848417,48689.754
139.42081832666736,48679.035
139.44125266485935,48681.098
139.46168690281047,48674.375
139.4821210407681,48701.562
139.50255527849367,48702.227
139.52298961598717,48678.43
139.54342375347187,48697.055
139.56385799073178,48688.117
139.58429232775234,48688.707
139.60472646477865,48694.086
139.6251607015729,48695.074
139.64559493836714,48699.44
139.66602927492204,48697.973
139.6864634114827,48685.727
139.70689764781127,48688.035
139.72733188389975,48701.527
139.7477661199955,48685.61
139.76820035585843,48690.832
139.78863459148124,48687.863
139.80906882711133,48687.79
139.8295030625086,48681.01
139.84993729789858,48688.707
139.870371533063,48693.824
139.89080576822744,48688.336
139.91124000291893,48679.63
139.93167423785053,48689.133
139.95210857230995,48695.4
139.97254270677513,48675.41
139.99297694124107,48687.047
140.01341107524058,48688.18
140.03384540946718,48685.887
140.05427964323462,48688.168
140.0747138769948,48684.41
140.0951481105294,48684.57
140.11558234406402,48688.363
140.1360165773658,48683.332
140.15645071065956,48688.3
140.17688504372927,48688.168
140.19731927655812,48701.203
140.21775340939348,48683.94
140.23818774199754,48685.477
140.258621974368,48688.387
